directory,category,region,bestUseCase
Canada Business Registries,Company Registry,Canada,Seed list for any B2B offer targeting Canadian companies
Federal Corporation Search Canada,Company Registry,Canada,Target federally incorporated Canadian entities by industry
Canadian Importers Database,Company Registry,Canada,"Equipment financing, freight, customs brokerage, compliance"
BC OrgBook,Company Registry,Canada,"BC-based B2B services, financing, software, recruiting"
OpenCorporates Canada,Company Registry,Canada,Cross-province company research and seed list building
SEC EDGAR Company Search,Company Registry,United States,Targeting public companies and their subsidiaries
GLEIF LEI Search,Company Registry,Global,Cross-border company identification and enrichment
USA State Secretary of State Searches,Company Registry,United States,State-level B2B seed lists by industry or entity type
SAM.gov Entity Search,Company Registry,United States,"Procurement-aware companies - compliance, bonding, insurance, ERP"
SBA Small Business Search,Company Registry,United States,"Government contracting support, financing, recruiting"
USAspending Recipient Profiles,Company Registry,United States,"Companies that already receive federal money - financing, growth services"
UK Companies House,Company Registry,UK,UK B2B seed lists; filter by SIC code and geography
Companies House Advanced Search,Company Registry,UK,Niche UK targeting by industry and company age
OpenCorporates,Company Registry,Global,Multi-country company research and seed lists across 140+ jurisdictions
EU BRIS Find a Company,Company Registry,Europe,EU company targeting across member states
Netherlands KVK Business Register,Company Registry,Europe,"Netherlands B2B targeting - finance, software, services"
Germany Unternehmensregister,Company Registry,Europe,"German B2B - manufacturing, engineering, finance"
France SIRENE / INSEE,Company Registry,Europe,French B2B targeting by sector and geography
Ireland CRO Search,Company Registry,Europe,Irish B2B seed lists
Belgium Crossroads Bank,Company Registry,Europe,Belgian B2B targeting
Denmark CVR,Company Registry,Europe,Danish company seed lists
Sweden Bolagsverket,Company Registry,Europe,Swedish B2B targeting
Norway Bronnøysund Register,Company Registry,Europe,Norwegian B2B seed lists
Spain Registro Mercantil,Company Registry,Europe,Spanish company targeting
Italy Registro Imprese,Company Registry,Europe,"Italian B2B - manufacturing, food, fashion supply chain"
ABN Lookup,Company Registry,Asia-Pac,Australian B2B seed lists; filter by state and business type
ASIC Connect,Company Registry,Asia-Pac,Australian company research and verification
New Zealand Companies Register,Company Registry,Asia-Pac,NZ B2B targeting
Singapore ACRA Bizfile,Company Registry,Asia-Pac,"Singapore B2B - finance, tech, manufacturing"
Hong Kong Companies Registry,Company Registry,Asia-Pac,"HK B2B targeting - finance, logistics, trade"
Japan NTA Corporate Number,Company Registry,Asia-Pac,Japan B2B seed lists
India MCA Company Master Data,Company Registry,Asia-Pac,"India B2B - manufacturing, IT, services"
Malaysia SSM e-Search,Company Registry,Asia-Pac,Malaysia B2B targeting
Philippines SEC Company Search,Company Registry,Asia-Pac,Philippines B2B seed lists
New York Active Corporations,Company Registry,United States,"New York company seed lists, new-entity campaigns, local B2B services"
New York Corporations and Other Entities - All Filings,Company Registry,United States,"Trigger-based outreach around new filings, amendments, entity changes"
SAM.gov Entity Registration,Gov Procurement,United States,"Compliance, bonding, insurance, ERP, staffing, proposal writing, fractional CFO"
SAM.gov Disaster Response Registry,Gov Procurement,United States,"Insurance, compliance, emergency services vendors"
GSA eLibrary Contractor Directory,Gov Procurement,United States,"IT, professional services, products sold to the US government"
USAspending Recipient Search,Gov Procurement,United States,"Companies receiving federal money - growth services, financing, ERP"
CanadaBuys Tender Awards / Contract History,Gov Procurement,Canada,Canadian government awardee and contractor-history targeting
MERX Supplier/Award Data,Gov Procurement,Canada,Canadian procurement-aware companies
EU TED eTendering,Gov Procurement,Europe,EU procurement-focused companies
UK Contracts Finder,Gov Procurement,UK,"UK government vendors - compliance, proposal writing, finance"
Find a Tender UK,Gov Procurement,UK,UK tender-active companies
Australian AusTender,Gov Procurement,Asia-Pac,Australian procurement vendors
New Zealand GETS,Gov Procurement,Asia-Pac,NZ procurement-active companies
Thomasnet Supplier Directory,Manufacturing,N. America,"Equipment financing, ERP, automation, industrial AI, recruiting, factoring"
IndustryNet,Manufacturing,United States,"B2B services for manufacturers - insurance, ERP, outbound sales"
IQS Directory,Manufacturing,United States,Industrial B2B targeting by product category
MFG.com,Manufacturing,Global,"Manufacturing services - recruiting, ERP, financing, AI implementation"
Europages,Manufacturing,Europe,"European manufacturer targeting - ERP, compliance, logistics"
Kompass,Manufacturing,Global,Cross-border manufacturer and supplier targeting
Global Sources,Manufacturing,Asia-Pac,Asia-Pacific sourcing and import/export B2B
Made-in-China,Manufacturing,Asia-Pac,"Importing/sourcing, freight, compliance, financing"
IndiaMART,Manufacturing,Asia-Pac,"India B2B manufacturing - services, software, financing"
Alibaba Supplier Directory,Manufacturing,Global,"Global sourcing companies - freight, financing, compliance"
TradeIndia,Manufacturing,Asia-Pac,India manufacturing and services targeting
ExportHub,Manufacturing,Global,Export-oriented manufacturer targeting
Engineering360 Supplier Directory,Manufacturing,United States,"Engineering firm targeting - software, recruiting, compliance"
DirectIndustry,Manufacturing,Global,"Industrial B2B - ERP, equipment financing, automation"
GlobalSpec,Manufacturing,United States,Engineering and industrial services targeting
MacRAEs Blue Book,Manufacturing,N. America,"Industrial B2B - equipment financing, insurance, ERP"
CBM Metalforming Member Directory,Manufacturing,UK,UK metalforming manufacturers and suppliers
Canadian Trade Index,Manufacturing,Canada,Canadian manufacturer targeting
Frasers Directory,Manufacturing,Canada,Canadian industrial B2B targeting
Manufacturer.com,Manufacturing,N. America,"Manufacturing services - ERP, recruiting, financing"
Packaging World Supplier Directory,Manufacturing,United States,"Packaging company targeting - equipment, compliance, ERP"
Food Processing Supplier Directories,Manufacturing,United States,"Food manufacturer targeting - compliance, equipment, ERP"
CKCA Member Directory,Manufacturing,Canada,Canadian kitchen cabinet manufacturers and suppliers
Processing Magazine Supplier Guide,Manufacturing,United States,Chemical/industrial processor targeting
Control Engineering Supplier Directories,Manufacturing,United States,Industrial automation targeting
SourceTool B2B Supplier Directory,Manufacturing,Global,Free B2B supplier search across 750k+ listed companies
B2BMAP Suppliers & Manufacturers,Manufacturing,Global,"Global manufacturers, suppliers, wholesalers, and exporters"
EC21 Company Directory,Manufacturing,Global,"Global manufacturers, suppliers, exporters, and buyers"
MFGAxis Industrial Supplier Directory,Manufacturing,United States,Industrial supplier and manufacturing capability profiles
Precision Metalforming Association Directory,Manufacturing,United States,Metalforming manufacturers and industry suppliers
EWTA Supplier Directory,Manufacturing,United States,"Engineered wood equipment, materials, supplies, and service providers"
Faktorist Wholesale Suppliers,Manufacturing,Global,"Verified wholesale suppliers, manufacturers, distributors, and exporters"
FindaSupplier Wholesale Directory,Manufacturing,Global,Wholesale supplier categories and supplier profiles
Map Your Show,Trade Show,Global,Find any industrys active exhibitors - budget + intent confirmed
ExpoFP,Trade Show,Global,Exhibitor lists with booth numbers and product categories
Swapcard,Trade Show,Global,Exhibitor profiles with contact data in some events
Brella,Trade Show,Global,Exhibitor and attendee targeting for B2B events
EventHub,Trade Show,Global,Exhibitors seeking buyers - high commercial intent
CES Exhibitor Directory,Trade Show,United States,"Tech company targeting - AI, software, hardware"
SEMA Exhibitor List,Trade Show,United States,"Auto parts/accessories - financing, ERP, recruiting"
PACK EXPO Exhibitors,Trade Show,United States,"Packaging company targeting - equipment, compliance, ERP"
IMTS Exhibitors,Trade Show,United States,"Manufacturing tech companies - ERP, financing, AI"
FABTECH Exhibitors,Trade Show,United States,Metal fab company targeting
BIO International Exhibitors,Trade Show,United States,Biotech and pharma B2B targeting
HIMSS Exhibitors,Trade Show,United States,Healthcare technology targeting
NRF Big Show Exhibitors,Trade Show,United States,Retail tech and services targeting
RSNA Exhibitors,Trade Show,United States,Medical imaging and radiology tech targeting
JEC World Exhibitors,Trade Show,Europe,Composites manufacturer targeting
Formnext Exhibitors,Trade Show,Europe,3D printing and advanced manufacturing targeting
SIAL Canada Exhibitors,Trade Show,Canada,"Food company targeting - compliance, equipment, distribution"
PDAC Exhibitors,Trade Show,Canada,"Mining company targeting - financing, equipment, ERP"
Analytica Exhibitors,Trade Show,Europe,Lab and analytical equipment company targeting
World of Quantum Exhibitors,Trade Show,Europe,Quantum tech B2B targeting
MODEX Exhibitors,Trade Show,United States,Supply chain and logistics tech targeting
NPE Plastics Exhibitors,Trade Show,United States,Plastics manufacturer targeting
World of Concrete Exhibitors,Trade Show,United States,Construction materials company targeting
AHR Expo Exhibitors,Trade Show,United States,HVAC and building systems targeting
Natural Products Expo West,Trade Show,United States,"Natural/organic brand targeting - compliance, distribution"
Seafood Expo Exhibitors,Trade Show,N. America,Seafood company targeting
CONEXPO Exhibitors,Trade Show,United States,"Heavy construction targeting - financing, equipment, ERP"
SupplySide Global,Trade Show,United States,"Ingredient, supplement, food, beverage, packaging, formulation, and nutraceutical companies"
MD&M West,Trade Show,United States,"Medical device, design, manufacturing, automation, plastics, and packaging companies"
The Battery Show North America,Trade Show,United States,"Battery, EV, advanced materials, testing, and energy-storage suppliers"
SEMICON West,Trade Show,United States,"Semiconductor manufacturers, equipment suppliers, materials companies"
Automate Show,Trade Show,United States,"Robotics, automation, AI, motion control, vision systems"
Black Hat USA,Trade Show,United States,"Cybersecurity sponsors, exhibitors, startups, and security vendors"
HLTH,Trade Show,United States,Healthcare innovation sponsors and exhibitors
ViVE,Trade Show,United States,"Digital health sponsors, exhibitors, and attending companies"
Shoptalk,Trade Show,United States,"Retail, ecommerce, logistics, payments, marketing technology"
Web Summit,Trade Show,Global,"Startups, scaleups, sponsors, and technology companies"
AWS Partner Directory,Tech Partner,Global,"Cloud implementation firms - recruiting, AI ops, outbound"
Microsoft Partner Directory,Tech Partner,Global,"MSPs, cloud consultants - AI implementation, recruiting, outbound"
Google Cloud Partner Directory,Tech Partner,Global,"Cloud and data firms - outbound infrastructure, AI, recruiting"
Salesforce AppExchange Consultants,Tech Partner,Global,"CRM consultants - outbound systems, AI ops, recruiting"
Shopify Partner Directory,Tech Partner,Global,"eCommerce agency targeting - outbound, lead gen, AI"
HubSpot Solutions Directory,Tech Partner,Global,"Marketing agencies - outbound infrastructure, AI, lead gen"
Stripe Partner Directory,Tech Partner,Global,Fintech and payment firms targeting
Webflow Experts,Tech Partner,Global,Web agency targeting
Bubble Experts,Tech Partner,Global,No-code dev agency targeting
Zapier Experts,Tech Partner,Global,Automation agency targeting
Make Partner Directory,Tech Partner,Global,Automation and integration agency targeting
Monday.com Partner Directory,Tech Partner,Global,PM software consultants targeting
Atlassian Partner Directory,Tech Partner,Global,Dev-tool consultants and MSPs
ServiceNow Partner Finder,Tech Partner,Global,"Enterprise ITSM consultants - AI ops, recruiting"
Oracle Partner Finder,Tech Partner,Global,Oracle ERP and cloud implementation firms
SAP Partner Finder,Tech Partner,Global,SAP consultants - large enterprise B2B
NetSuite Partner Directory,Tech Partner,Global,"Mid-market ERP consultants - outbound, AI, recruiting"
Snowflake Partner Network,Tech Partner,Global,Data engineering and analytics firms targeting
Databricks Partner Directory,Tech Partner,Global,AI/ML and data platform firms targeting
Adobe Solution Partners,Tech Partner,Global,Digital marketing agency targeting
Klaviyo Partner Directory,Tech Partner,Global,eCommerce email agency targeting
Braze Partners,Tech Partner,Global,Marketing technology agency targeting
Segment Partners,Tech Partner,Global,CDP and analytics firm targeting
Twilio Partner Directory,Tech Partner,Global,Communication technology firms targeting
Okta Partner Directory,Tech Partner,Global,Security and IAM consultant targeting
Workday Partner Directory,Tech Partner,Global,Enterprise HR/finance consultants
UiPath Partner Directory,Tech Partner,Global,Automation and RPA firm targeting
Clutch,Agency/Software,Global,"Target agencies by exact service - cold email, B2B lead gen, outbound"
GoodFirms,Agency/Software,Global,Agency and software company targeting
DesignRush,Agency/Software,United States,Creative and marketing agency targeting
The Manifest,Agency/Software,United States,Agency targeting with market research context
Sortlist,Agency/Software,Europe,European agency targeting
Agency Spotter,Agency/Software,United States,"US agency targeting by specialty, size, and vertical"
UpCity,Agency/Software,United States,Local agency and service company targeting
G2,Agency/Software,Global,"Software company targeting - outbound tools, AI sales, integrations"
Capterra,Agency/Software,Global,Software company targeting by exact category
GetApp,Agency/Software,Global,SMB software vendor targeting
Software Advice,Agency/Software,Global,Software vendor targeting
TrustRadius,Agency/Software,United States,Mid-market and enterprise software targeting
SourceForge Directory,Agency/Software,Global,Developer tool and open-source company targeting
Crozdesk,Agency/Software,Global,SaaS company targeting
SaaSworthy,Agency/Software,Global,SaaS founder and growth team targeting
Product Hunt,Agency/Software,Global,Early-stage SaaS and tech company targeting
CaseStudies.com,Agency/Software,Global,"Companies with public case studies - customer proof, buying triggers"
AlternativeTo,Agency/Software,Global,Software company targeting by niche
Gartner Peer Insights,Agency/Software,Global,Enterprise software vendor targeting
BBB Business Directory,Agency/Software,United States,Local and regional B2B service company targeting
Yelp Business Directory,Agency/Software,United States,Local service business targeting
Distrilist B2B Business Directory,Agency/Software,Global,"Global B2B company listings by industry, country, and business segment"
The Blue Book,Construction & CRE,United States,"Commercial finance, bonding, equipment financing, software, recruiting - 800k+ listings"
Procore Construction Network,Construction & CRE,Global,"Construction software, project management tools, staffing"
BuildZoom,Construction & CRE,United States,"Contractor targeting - insurance, financing, software"
Houzz Pro Directory,Construction & CRE,United States,High-end residential and commercial contractor targeting
BidCentral,Construction & CRE,Canada,Canadian construction company targeting
Dodge Construction Network,Construction & CRE,United States,General contractor and subcontractor targeting
ConstructConnect,Construction & CRE,United States,Construction company targeting - pre-bid outreach
HomeAdvisor / Angi,Construction & CRE,United States,Residential and light commercial contractor targeting
Thumbtack,Construction & CRE,United States,Local contractor and trades targeting
BCFSA Real Estate Professional Search,Construction & CRE,Canada,BC real estate firm targeting
CCIM Member Directory,Construction & CRE,United States,"CRE professional targeting - financing, software, transactions"
Nareit REIT Directory,Construction & CRE,United States,REIT and institutional real estate targeting
AIA Architect Finder,Construction & CRE,United States,Architecture firm targeting
NSPE PE License Search,Construction & CRE,United States,Engineering firm targeting
NRCA Roofing Contractor Search,Construction & CRE,United States,"Roofing contractor targeting - insurance, financing, software"
ACCA HVAC Contractor Search,Construction & CRE,United States,HVAC contractor targeting
NECA Electrical Contractor Search,Construction & CRE,United States,Electrical contractor targeting
MCAA Plumbing Contractor Search,Construction & CRE,United States,Plumbing contractor targeting
FMCSA SAFER Company Snapshot,Logistics & Freight,United States,"Carrier targeting - factoring, insurance, fuel cards, dispatching software"
FMCSA Licensing & Insurance Search,Logistics & Freight,United States,"Active carrier targeting - compliance, fleet financing"
FMCSA Passenger Carrier Search,Logistics & Freight,United States,Passenger carrier targeting
CarrierSource,Logistics & Freight,United States,"Carrier targeting - factoring, insurance, dispatching"
Zipments Trucking Directory,Logistics & Freight,United States,Freight carrier targeting
FreightFinder,Logistics & Freight,Global,Freight company targeting
Freightnet,Logistics & Freight,Global,International freight and logistics targeting
CBSA FAST Approved Carriers,Logistics & Freight,Canada,Canadian cross-border carrier targeting
eCarrierCheck,Logistics & Freight,United States,Carrier research and targeting
SearchMule Trucking Directory,Logistics & Freight,United States,Trucking company targeting
TruckDown,Logistics & Freight,United States,Truck service and fleet company targeting
DAT Carrier Directories,Logistics & Freight,United States,Active freight carrier and broker targeting
Truckstop Load Board,Logistics & Freight,United States,Active carrier and freight broker targeting
3PL Directories,Logistics & Freight,Global,"3PL targeting - software, recruiting, insurance"
Cold-Chain Logistics Directories,Logistics & Freight,Global,Cold chain operator targeting
FIATA Freight Forwarder Directory,Logistics & Freight,Global,Freight forwarder targeting
NCBFAA Customs Broker Directory,Logistics & Freight,United States,Customs broker targeting
FMC Licensed NVOCCs / OTI List,Logistics & Freight,United States,"Freight forwarders, NVOCCs, customs, logistics tech, insurance, trade finance"
CBP Permitted Customs Brokers Listing,Logistics & Freight,United States,Customs brokers and trade compliance firms
NPPES NPI Registry,Healthcare,United States,"Recruiting, billing/RCM, AI documentation, intake automation - 8M+ records"
Medicare Care Compare,Healthcare,United States,"Filter by facility type, location, rating - targeted healthcare B2B"
CMS Provider Data Catalog,Healthcare,United States,Healthcare data for outbound segmentation at scale
Hospital Compare Datasets,Healthcare,United States,"Hospital targeting - staffing, software, compliance"
Home Health Agency Datasets,Healthcare,United States,"Home health targeting - recruiting, billing, AI documentation"
Nursing Home Datasets,Healthcare,United States,"Nursing home targeting - staffing, compliance, financing"
Urgent Care Finder,Healthcare,United States,"Urgent care targeting - billing, staffing, AI intake"
NABP Pharmacy Directory,Healthcare,United States,"Pharmacy targeting - compliance, software"
SAMHSA Treatment Facility Locator,Healthcare,United States,Behavioral health provider targeting
NAHC Home Care Provider Search,Healthcare,United States,Home care company targeting
Senior Living Directory,Healthcare,United States,"Senior care operator targeting - staffing, compliance, software"
HealthPRO Canada Member Directory,Healthcare,Canada,Canadian healthcare operator targeting
NCES Public School Search,Education,United States,"Public school targeting - software, fundraising, AI tools"
NCES Private School Search,Education,United States,"Private school targeting - enrollment software, fundraising"
NCES College Navigator,Education,United States,"College and university targeting - software, recruiting, AI"
GreatSchools,Education,United States,K-12 targeting segmented by rating and location
Canada Designated Learning Institutions,Education,Canada,Canadian post-secondary targeting
Trade School Directories,Education,United States,"Trade school targeting - recruiting, software, marketing"
AMSHQ Montessori Directory,Education,United States,Montessori school targeting
National Charter Schools Directory,Education,United States,"Charter school targeting - software, marketing, recruiting"
Course Report Bootcamp Directory,Education,Global,"Bootcamp targeting - recruiting, employer partnerships"
Language Schools Abroad,Education,Global,Language school targeting
Charity Navigator,Nonprofit & Assoc,United States,"Nonprofit targeting - donor CRM, accounting, fundraising, AI admin"
CRA List of Charities,Nonprofit & Assoc,Canada,Canadian nonprofit targeting
IRS Tax Exempt Organization Search,Nonprofit & Assoc,United States,"US nonprofit targeting - grant writing, payroll, HR, cybersecurity"
GuideStar / Candid,Nonprofit & Assoc,United States,"Nonprofit leadership targeting - software, compliance, fundraising"
ProPublica Nonprofit Explorer,Nonprofit & Assoc,United States,"Financial intelligence on nonprofits - grant writing, accounting"
Foundation Center / Candid,Nonprofit & Assoc,United States,"Foundation targeting - grant management, financial services"
ReMA Member Directory,Nonprofit & Assoc,Global,Recycled materials companies by commodity and service
BC Chamber of Commerce,Chambers & Local,Canada,BC business targeting
Greater Vancouver Board of Trade,Chambers & Local,Canada,Vancouver B2B targeting
Maine International Trade Center Member Directory,Chambers & Local,United States,Export/import-oriented Maine companies by sector
BBB Local Directory,Chambers & Local,United States,Accredited local business targeting
Yelp Local Categories,Chambers & Local,United States,Local service business targeting
B Corp Directory,Certification,Global,ESG-positioning angle
NMSDC Certified MBE Search,Certification,United States,MBE procurement and supplier enablement targeting
WBENC Women Owned Directory,Certification,United States,"WBE procurement, capital, and supplier enablement"
WBE Canada,Certification,Canada,Canadian WBE targeting
Disability:IN Supplier Directory,Certification,United States,DOBE supplier enablement and procurement targeting
ISO Certification Directories,Certification,Global,"ISO-certified company targeting - compliance, software, auditing"
USGBC LEED Directory,Certification,Global,Green building targeting
ENERGY STAR Partner Directory,Certification,United States,Energy efficiency targeting
VeteranOwnedBusiness.com Search,Certification,United States,"VOB targeting - financing, procurement, supplier enablement"
NGLCC LGBTQ+ Business Directory,Certification,United States,LGBTQ+ owned business targeting
CCIB Member Directory,Certification,Canada,Indigenous business targeting
USDA Organic Integrity Database,Certification,United States,"Organic brands, farms, processors, distributors"
CALSSA Member Directory,Certification,United States,California solar and storage companies
California Cannabis License Search,Certification,United States,"Cannabis retailers, manufacturers, distributors, labs, cultivators"
Seattle Licensed Business Search,Business Licence,United States,Signal-based outbound via Seattles business licence registry
Vancouver Business Licences Open Data,Business Licence,Canada,Vancouver SMB targeting with NAICS filtering
Surrey Business Directory,Business Licence,Canada,Surrey B2B targeting
LA Active Businesses,Business Licence,United States,LA SMB targeting at scale
DC Basic Business Licences,Business Licence,United States,DC SMB targeting
Tacoma Business Licences Dataset,Business Licence,United States,Tacoma WA SMB targeting
Everett Licensed Businesses,Business Licence,United States,Everett WA SMB targeting
Buffalo Business Licences Dataset,Business Licence,United States,Buffalo NY SMB targeting
New Westminster Business Licences,Business Licence,Canada,New Westminster B2B targeting
City of Edmonton Business Licences,Business Licence,Canada,Edmonton SMB targeting by licence category
Calgary Business Licenses,Business Licence,Canada,Calgary SMB targeting by operating category
Mesa Business Licenses,Business Licence,United States,Phoenix/Mesa SMB targeting
Detroit Business Licenses Current,Business Licence,United States,Detroit active-business targeting
